Stage,ChangeList 1,ChangeList 2,ChangeList 3,Changelist Avg, ,Hashlite 1,Hashlite 2,Hashlite 3,Hashlite Avg, ,,
346,0.001,0.001,0.001,0.001, ,0,0.001,0,0.000333333, ,,
347,0.001,0.001,0.002,0.001333333, ,0.001,0,0.001,0.000666667, ,,
348,0.001,0.001,0.001,0.001, ,0,0.001,0,0.000333333, ,,
349,0.002,0.001,0.001,0.001333333, ,0.015,0,0.001,0.005333333, ,,
350,0.001,0.001,0.001,0.001, ,0,0,0,0, ,,
351,0.001,0.002,0.001,0.001333333, ,0.001,0.001,0.001,0.001, ,,
352,0.001,0.001,0.001,0.001, ,0,0,0,0, ,,
353,0.001,0.001,0.001,0.001, ,0,0,0,0, ,,
354,0.002,0.001,0.001,0.001333333, ,0.001,0.001,0.001,0.001, ,,
355,0.001,0.001,0.002,0.001333333, ,0,0,0,0, ,,
356,0.001,0.001,0.001,0.001, ,0,0,0,0, ,,
357,0.001,0.001,0.001,0.001, ,0.001,0.001,0.001,0.001, ,,
358,0.002,0.001,0.001,0.001333333, ,0,0,0,0, ,,
359,0.001,0.001,0.001,0.001, ,0,0,0.001,0.000333333, ,,
360,0.001,0.001,0.001,0.001, ,0.001,0.001,0,0.000666667, ,,
361,0.001,0.002,0.001,0.001333333, ,0,0,0.001,0.000333333, ,,
362,0.001,0.001,0.001,0.001, ,0,0.001,0,0.000333333, ,,
363,0.002,0.001,0.001,0.001333333, ,0.001,0,0,0.000333333, ,,
364,0.001,0.001,0.001,0.001, ,0,0,0.001,0.000333333, ,,
365,0.001,0.001,0.001,0.001, ,0.001,0.001,0,0.000666667, ,,
